specie,sum_species,kingdom,phylum,class,order,family,genus,species,strain,,,
k__Bacteria|p__Firmicutes|c__CFGB1780|o__OFGB1780|f__FGB1780|g__GGB4723|s__GGB4723_SGB6540|t__SGB6540,4,k__Bacteria,p__Firmicutes,c__CFGB1780,o__OFGB1780,f__FGB1780,g__GGB4723,s__GGB4723_SGB6540,t__SGB6540,,,
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB4653|s__GGB4653_SGB6440|t__SGB6440,4,k__Bacteria,p__Firmicutes,c__CFGB9119,o__OFGB9119,f__FGB9119,g__GGB4653,s__GGB4653_SGB6440,t__SGB6440,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28640|s__GGB28640_SGB4673|t__SGB4673,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB28640,s__GGB28640_SGB4673,t__SGB4673,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1497|s__GGB1497_SGB2075|t__SGB2075,2,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__GGB1497,s__GGB1497_SGB2075,t__SGB2075,,,
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583|g__GGB3490|s__GGB3490_SGB4664|t__SGB4664,7,k__Bacteria,p__Firmicutes,c__CFGB9583,o__OFGB9583,f__FGB9583,g__GGB3490,s__GGB3490_SGB4664,t__SGB4664,,,
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325|f__FGB1325|g__GGB3176|s__GGB3176_SGB4194|t__SGB4194,4,k__Bacteria,p__Firmicutes,c__CFGB1325,o__OFGB1325,f__FGB1325,g__GGB3176,s__GGB3176_SGB4194,t__SGB4194,,,
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB39037|s__GGB39037_SGB4393|t__SGB4393,5,k__Bacteria,p__Firmicutes,c__CFGB1359,o__OFGB1359,f__FGB1359,g__GGB39037,s__GGB39037_SGB4393,t__SGB4393,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB18559|s__GGB18559_SGB27424|t__SGB27424,1,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB18559,s__GGB18559_SGB27424,t__SGB27424,,,
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4549|s__GGB4549_SGB6271|t__SGB6271,12,k__Bacteria,p__Firmicutes,c__CFGB1765,o__OFGB1765,f__FGB1765,g__GGB4549,s__GGB4549_SGB6271,t__SGB6271,,,
k__Bacteria|p__Firmicutes|c__CFGB72916|o__OFGB72916|f__FGB72916|g__GGB4700|s__GGB4700_SGB6506|t__SGB6506,4,k__Bacteria,p__Firmicutes,c__CFGB72916,o__OFGB72916,f__FGB72916,g__GGB4700,s__GGB4700_SGB6506,t__SGB6506,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Baileyella|s__Baileyella_intestinalis|t__SGB3928,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_Family_XIII_Incertae_Sedis,g__Baileyella,s__Baileyella_intestinalis,t__SGB3928,,,
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776|g__GGB4674|s__GGB4674_SGB6463|t__SGB6463,1,k__Bacteria,p__Firmicutes,c__CFGB1776,o__OFGB1776,f__FGB1776,g__GGB4674,s__GGB4674_SGB6463,t__SGB6463,,,
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli|t__SGB14367,2,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella_uli,t__SGB14367,,,
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9434|s__GGB9434_SGB14812|t__SGB14812,1,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__GGB9434,s__GGB9434_SGB14812,t__SGB14812,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6177|t__SGB6177,2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_SGB6177,t__SGB6177,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii|t__SGB5862,7,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera_elsdenii,t__SGB5862,,,
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum|t__SGB17231,10,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_angulatum,t__SGB17231,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_SGB5820|t__SGB5820,2,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_SGB5820,t__SGB5820,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3585|s__GGB3585_SGB4803|t__SGB4803,2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB3585,s__GGB3585_SGB4803,t__SGB4803,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena|s__Longicatena_caecimuris|t__SGB4041,7,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Longicatena,s__Longicatena_caecimuris,t__SGB4041,,,
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005|f__FGB3005|g__GGB9469|s__GGB9469_SGB14863|t__SGB14863,3,k__Bacteria,p__Firmicutes,c__CFGB3005,o__OFGB3005,f__FGB3005,g__GGB9469,s__GGB9469_SGB14863,t__SGB14863,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_cibaria|t__SGB7114,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella,s__Weissella_cibaria,t__SGB7114,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB47659|t__SGB47659,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Blautia,s__Blautia_SGB47659,t__SGB47659,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9529|s__GGB9529_SGB53518|t__SGB53518,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,g__GGB9529,s__GGB9529_SGB53518,t__SGB53518,,,
k__Bacteria|p__Firmicutes|c__CFGB2831|o__OFGB2831|f__FGB2831|g__GGB9048|s__GGB9048_SGB13952|t__SGB13952,1,k__Bacteria,p__Firmicutes,c__CFGB2831,o__OFGB2831,f__FGB2831,g__GGB9048,s__GGB9048_SGB13952,t__SGB13952,,,
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_sp_BIOML_A40|t__SGB9223,4,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_sp_BIOML_A40,t__SGB9223,,,
k__Bacteria|p__Firmicutes|c__CFGB10325|o__OFGB10325|f__FGB10325|g__GGB4667|s__GGB4667_SGB6456|t__SGB6456,1,k__Bacteria,p__Firmicutes,c__CFGB10325,o__OFGB10325,f__FGB10325,g__GGB4667,s__GGB4667_SGB6456,t__SGB6456,,,
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455|f__FGB31455|g__GGB4699|s__GGB4699_SGB6501|t__SGB6501,1,k__Bacteria,p__Firmicutes,c__CFGB31455,o__OFGB31455,f__FGB31455,g__GGB4699,s__GGB4699_SGB6501,t__SGB6501,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3524|s__GGB3524_SGB4704|t__SGB4704,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__GGB3524,s__GGB3524_SGB4704,t__SGB4704,,,
k__Bacteria|p__Firmicutes|c__CFGB2840|o__OFGB2840|f__FGB2840|g__GGB9093|s__GGB9093_SGB14024|t__SGB14024,3,k__Bacteria,p__Firmicutes,c__CFGB2840,o__OFGB2840,f__FGB2840,g__GGB9093,s__GGB9093_SGB14024,t__SGB14024,,,
k__Bacteria|p__Bacteroidetes|c__CFGB628|o__OFGB628|f__FGB628|g__GGB1492|s__GGB1492_SGB2067|t__SGB2067,2,k__Bacteria,p__Bacteroidetes,c__CFGB628,o__OFGB628,f__FGB628,g__GGB1492,s__GGB1492_SGB2067,t__SGB2067,,,
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776|g__GGB4671|s__GGB4671_SGB6460|t__SGB6460,1,k__Bacteria,p__Firmicutes,c__CFGB1776,o__OFGB1776,f__FGB1776,g__GGB4671,s__GGB4671_SGB6460,t__SGB6460,,,
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9423|s__GGB9423_SGB14792|t__SGB14792,4,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__GGB9423,s__GGB9423_SGB14792,t__SGB14792,,,
k__Bacteria|p__Bacteroidetes|c__CFGB667|o__OFGB667|f__FGB667|g__GGB1661|s__GGB1661_SGB2275|t__SGB2275,1,k__Bacteria,p__Bacteroidetes,c__CFGB667,o__OFGB667,f__FGB667,g__GGB1661,s__GGB1661_SGB2275,t__SGB2275,,,
k__Bacteria|p__Firmicutes|c__CFGB8331|o__OFGB8331|f__FGB8331|g__GGB13357|s__GGB13357_SGB13987|t__SGB13987,1,k__Bacteria,p__Firmicutes,c__CFGB8331,o__OFGB8331,f__FGB8331,g__GGB13357,s__GGB13357_SGB13987,t__SGB13987,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB69346|t__SGB69346,2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Lachnospiraceae_unclassified_SGB69346,t__SGB69346,,,
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB6020|s__GGB6020_SGB8653|t__SGB8653,3,k__Bacteria,p__Candidatus_Melainabacteria,c__CFGB2107,o__OFGB2107,f__FGB2107,g__GGB6020,s__GGB6020_SGB8653,t__SGB8653,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__SGB5118,8,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_eutactus,t__SGB5118,,,
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140|f__FGB8140|g__GGB3755|s__GGB3755_SGB5104|t__SGB5104,3,k__Bacteria,p__Firmicutes,c__CFGB8140,o__OFGB8140,f__FGB8140,g__GGB3755,s__GGB3755_SGB5104,t__SGB5104,,,
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__SGB15465,5,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_piger,t__SGB15465,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_SGB15292|t__SGB15292,3,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Gemmiger,s__Gemmiger_SGB15292,t__SGB15292,,,
k__Bacteria|p__Firmicutes|c__CFGB45555|o__OFGB45555|f__FGB45555|g__GGB9701|s__GGB9701_SGB15218|t__SGB15218,3,k__Bacteria,p__Firmicutes,c__CFGB45555,o__OFGB45555,f__FGB45555,g__GGB9701,s__GGB9701_SGB15218,t__SGB15218,,,
k__Bacteria|p__Firmicutes|c__CFGB1800|o__OFGB1800|f__FGB1800|g__GGB4773|s__GGB4773_SGB6607|t__SGB6607,4,k__Bacteria,p__Firmicutes,c__CFGB1800,o__OFGB1800,f__FGB1800,g__GGB4773,s__GGB4773_SGB6607,t__SGB6607,,,
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6610|s__GGB6610_SGB9344|t__SGB9344,11,k__Bacteria,p__Proteobacteria,c__CFGB2404,o__OFGB2404,f__FGB2404,g__GGB6610,s__GGB6610_SGB9344,t__SGB9344,,,
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629|f__FGB9629|g__GGB3615|s__GGB3615_SGB4887|t__SGB4887,1,k__Bacteria,p__Firmicutes,c__CFGB9629,o__OFGB9629,f__FGB9629,g__GGB3615,s__GGB3615_SGB4887,t__SGB4887,,,
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6614|s__GGB6614_SGB9349|t__SGB9349,1,k__Bacteria,p__Proteobacteria,c__CFGB2404,o__OFGB2404,f__FGB2404,g__GGB6614,s__GGB6614_SGB9349,t__SGB9349,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15266|t__SGB15266,11,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9715,s__GGB9715_SGB15266,t__SGB15266,,,
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120|f__FGB9120|g__GGB4642|s__GGB4642_SGB6421|t__SGB6421,1,k__Bacteria,p__Firmicutes,c__CFGB9120,o__OFGB9120,f__FGB9120,g__GGB4642,s__GGB4642_SGB6421,t__SGB6421,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3637|s__GGB3637_SGB4930|t__SGB4930,3,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB3637,s__GGB3637_SGB4930,t__SGB4930,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_sp_AF15_53|t__SGB1781,2,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter_sp_AF15_53,t__SGB1781,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_asburiae|t__SGB10141,2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_asburiae,t__SGB10141,,,
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense|t__SGB17228,1,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_mongoliense,t__SGB17228,,,
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_SGB9293|t__SGB9293,2,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Sutterella,s__Sutterella_SGB9293,t__SGB9293,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus|t__SGB7045,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_crispatus,t__SGB7045,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB4892|t__SGB4892,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Lachnospiraceae_unclassified_SGB4892,t__SGB4892,,,
k__Bacteria|p__Firmicutes|c__CFGB2937|o__OFGB2937|f__FGB2937|g__GGB9270|s__GGB9270_SGB14221|t__SGB14221,2,k__Bacteria,p__Firmicutes,c__CFGB2937,o__OFGB2937,f__FGB2937,g__GGB9270,s__GGB9270_SGB14221,t__SGB14221,,,
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_massiliensis|t__SGB33566,1,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Gordonibacter,s__Gordonibacter_massiliensis,t__SGB33566,,,
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB33544|s__GGB33544_SGB53490|t__SGB53490,1,k__Bacteria,p__Firmicutes,c__CFGB3070,o__OFGB3070,f__FGB3070,g__GGB33544,s__GGB33544_SGB53490,t__SGB53490,,,
k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942|f__FGB2942|g__GGB9277|s__GGB9277_SGB14229|t__SGB14229,2,k__Bacteria,p__Firmicutes,c__CFGB2942,o__OFGB2942,f__FGB2942,g__GGB9277,s__GGB9277_SGB14229,t__SGB14229,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9548|s__GGB9548_SGB14955|t__SGB14955,2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,g__GGB9548,s__GGB9548_SGB14955,t__SGB14955,,,
k__Bacteria|p__Firmicutes|c__CFGB1677|o__OFGB1677|f__FGB1677|g__GGB4716|s__GGB4716_SGB6531|t__SGB6531,1,k__Bacteria,p__Firmicutes,c__CFGB1677,o__OFGB1677,f__FGB1677,g__GGB4716,s__GGB4716_SGB6531,t__SGB6531,,,
k__Bacteria|p__Firmicutes|c__CFGB74429|o__OFGB74429|f__FGB74429|g__GGB9334|s__GGB9334_SGB14297|t__SGB14297,1,k__Bacteria,p__Firmicutes,c__CFGB74429,o__OFGB74429,f__FGB74429,g__GGB9334,s__GGB9334_SGB14297,t__SGB14297,,,
k__Bacteria|p__Firmicutes|c__CFGB2936|o__OFGB2936|f__FGB2936|g__GGB9267|s__GGB9267_SGB14218|t__SGB14218,1,k__Bacteria,p__Firmicutes,c__CFGB2936,o__OFGB2936,f__FGB2936,g__GGB9267,s__GGB9267_SGB14218,t__SGB14218,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1153|s__GGB1153_SGB1481|t__SGB1481,6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1153,s__GGB1153_SGB1481,t__SGB1481,,,
k__Bacteria|p__Firmicutes|c__CFGB320|o__OFGB320|f__FGB320|g__GGB741|s__GGB741_SGB955|t__SGB955,1,k__Bacteria,p__Firmicutes,c__CFGB320,o__OFGB320,f__FGB320,g__GGB741,s__GGB741_SGB955,t__SGB955,,,
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1573|s__GGB1573_SGB2160|t__SGB2160,1,k__Bacteria,p__Bacteroidetes,c__CFGB642,o__OFGB642,f__FGB642,g__GGB1573,s__GGB1573_SGB2160,t__SGB2160,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_gordoncarteri|t__SGB2087,6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Muribaculum,s__Muribaculum_gordoncarteri,t__SGB2087,,,
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4591|s__GGB4591_SGB6350|t__SGB6350,2,k__Bacteria,p__Firmicutes,c__CFGB1765,o__OFGB1765,f__FGB1765,g__GGB4591,s__GGB4591_SGB6350,t__SGB6350,,,
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4543|s__GGB4543_SGB6264|t__SGB6264,1,k__Bacteria,p__Firmicutes,c__CFGB1765,o__OFGB1765,f__FGB1765,g__GGB4543,s__GGB4543_SGB6264,t__SGB6264,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__SGB10131,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_cloacae,t__SGB10131,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_SGB4873|t__SGB4873,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_SGB4873,t__SGB4873,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9739|s__GGB9739_SGB15313|t__SGB15313,3,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9739,s__GGB9739_SGB15313,t__SGB15313,,,
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989|o__OFGB2989|f__FGB2989|g__GGB9365|s__GGB9365_SGB14342|t__SGB14342,2,k__Bacteria,p__Bacteria_unclassified,c__CFGB2989,o__OFGB2989,f__FGB2989,g__GGB9365,s__GGB9365_SGB14342,t__SGB14342,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB12972|s__GGB12972_SGB1701|t__SGB1701,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB12972,s__GGB12972_SGB1701,t__SGB1701,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla|s__Marseilla_massiliensis|t__SGB1592,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Marseilla,s__Marseilla_massiliensis,t__SGB1592,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_mizrahii|t__SGB1689,2,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_mizrahii,t__SGB1689,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB74447|s__GGB74447_SGB1595|t__SGB1595,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB74447,s__GGB74447_SGB1595,t__SGB1595,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1219|s__GGB1219_SGB1587|t__SGB1587,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1219,s__GGB1219_SGB1587,t__SGB1587,,,
k__Bacteria|p__Actinobacteria|c__CFGB74413|o__OFGB74413|f__FGB74413|g__GGB9421|s__GGB9421_SGB14789|t__SGB14789,4,k__Bacteria,p__Actinobacteria,c__CFGB74413,o__OFGB74413,f__FGB74413,g__GGB9421,s__GGB9421_SGB14789,t__SGB14789,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1691|s__GGB1691_SGB2323|t__SGB2323,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__GGB1691,s__GGB1691_SGB2323,t__SGB2323,,,
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629|g__GGB1496|s__GGB1496_SGB2073|t__SGB2073,1,k__Bacteria,p__Bacteroidetes,c__CFGB629,o__OFGB629,f__FGB629,g__GGB1496,s__GGB1496_SGB2073,t__SGB2073,,,
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918|g__GGB9239|s__GGB9239_SGB14181|t__SGB14181,3,k__Bacteria,p__Firmicutes,c__CFGB2918,o__OFGB2918,f__FGB2918,g__GGB9239,s__GGB9239_SGB14181,t__SGB14181,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4237|s__GGB4237_SGB5728|t__SGB5728,1,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__GGB4237,s__GGB4237_SGB5728,t__SGB5728,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_Marseille_P3684|t__SGB1429,5,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_sp_Marseille_P3684,t__SGB1429,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_phocaeense|t__SGB4622,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnoclostridium,s__Lachnoclostridium_phocaeense,t__SGB4622,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_SGB4872|t__SGB4872,1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_SGB4872,t__SGB4872,,,
